Artifact,Untargeted Proportion,Targeted Proportion,Targeted Percentage Increase,Untargeted Drops,Targeted Drops
T1 Lunar totem,N/A,2.27,N/A,Doesn't Drop,"30,455"
T2 Lunar totem,N/A,3.99,N/A,Doesn't Drop,"53,643"
T3 Lunar totem,1.34,7.79,5.83,"1,692,257","104,711"
T4 Lunar totem,0.48,1.69,3.5,"610,591","22,675"
T1 Tachyon stone,N/A,0.6,N/A,Doesn't Drop,"1,577"
T2 Tachyon stone,0.61,3.44,5.61,"777,127","9,124"
T3 Tachyon stone,0.01,0.02,1.37,"16,765",48
T1 Tachyon stone fragment,N/A,3.1,N/A,Doesn't Drop,118
T2 Tachyon stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T3 Tachyon stone fragment,N/A,0.0,N/A,Doesn't Drop,0
T1 Neodymium medallion,N/A,2.38,N/A,Doesn't Drop,"2,762"
T2 Neodymium medallion,0.69,4.6,6.71,"869,257","5,354"
T3 Neodymium medallion,1.47,7.34,4.98,"1,867,391","8,536"
T4 Neodymium medallion,0.96,3.58,3.73,"1,214,209","4,162"
T1 Beak of Midas,N/A,2.35,N/A,Doesn't Drop,"8,001"
T2 Beak of Midas,0.8,4.26,5.31,"1,017,774","14,506"
T3 Beak of Midas,1.9,8.28,4.36,"2,402,363","28,170"
T4 Beak of Midas,0.53,1.99,3.78,"666,529","6,765"
T1 Light of Eggendil,3.11,8.53,2.74,"3,942,640","98,681"
T2 Light of Eggendil,0.82,3.28,4.0,"1,040,929","38,012"
T3 Light of Eggendil,0.09,0.24,2.74,"109,348","2,738"
T4 Light of Eggendil,0.0,N/A,N/A,3,Doesn't Drop
T1 Demeters necklace,N/A,2.28,N/A,Doesn't Drop,"6,697"
T2 Demeters necklace,N/A,3.36,N/A,Doesn't Drop,"9,891"
T3 Demeters necklace,1.04,6.84,6.6,"1,311,504","20,106"
T4 Demeters necklace,1.42,5.55,3.9,"1,801,176","16,327"
T1 Vial of Martian dust,N/A,2.31,N/A,Doesn't Drop,"3,797"
T2 Vial of Martian dust,0.61,5.38,8.81,"772,725","8,843"
T3 Vial of Martian dust,1.7,7.45,4.39,"2,148,717","12,243"
T4 Vial of Martian dust,0.16,0.53,3.23,"208,389",873
T1 Gusset,N/A,2.36,N/A,Doesn't Drop,"127,406"
